          1.0542134354       -0.8081155374       -0.8780673234
          0.5720956451       -0.5998126076        1.3522140648
         -0.6547694631        0.6632374824       -1.2833228946
         -0.5638250461       -0.3831626191        1.2527616580
         -1.3194651984        0.3947624749       -0.3705203274
         -0.5877294589        1.2658717257       -0.2936651341
          0.1678939750        0.4879537712        1.3295986940
         -0.0740393394       -1.2044588525        0.6265543196
          1.1137376937        0.2095946060        0.7512751931
         -0.8267072928       -0.4295977333       -0.9903350896
          0.3610938518        0.9844358195       -0.8655803464
          0.9609389794       -0.8311438126        0.2715643524
          0.2417893267       -0.0907880210       -1.2732853490
         -0.6975137814        0.5346545196        0.5809193969
         -0.8531438989       -0.5007623337        0.1571668221
          0.3269372428        0.9041032794        0.2810889593
          0.0643113741       -0.7953329875       -0.4110834173
          0.8267294552        0.1122963271       -0.3310266457
         -0.2564446761        0.2492129341       -0.3831410162
          0.1438971757       -0.1629484353        0.4768840837
